"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"10 дек. 2020 г.","10,839","10,817","10,870","10,646","","0,65%"
"09 дек. 2020 г.","10,769","10,449","10,817","10,415","","2,49%"
"08 дек. 2020 г.","10,507","10,754","10,759","10,507","","-1,55%"
"07 дек. 2020 г.","10,672","10,670","10,713","10,626","","0,64%"
"04 дек. 2020 г.","10,604","10,606","10,610","10,562","","-0,69%"
"03 дек. 2020 г.","10,678","10,517","10,696","10,511","","0,72%"
"02 дек. 2020 г.","10,602","10,659","10,674","10,461","","-0,55%"
"01 дек. 2020 г.","10,660","10,567","10,662","10,436","","0,19%"
"30 нояб. 2020 г.","10,640","10,783","11,052","10,634","","-1,02%"
"27 нояб. 2020 г.","10,750","10,666","10,763","10,568","","0,25%"
"25 нояб. 2020 г.","10,724","10,939","10,982","10,724","","-1,77%"
"24 нояб. 2020 г.","10,917","10,831","10,939","10,822","","-0,17%"
"23 нояб. 2020 г.","10,935","10,908","11,030","10,764","","-0,61%"
"20 нояб. 2020 г.","11,002","11,028","11,041","10,875","","-0,16%"
"19 нояб. 2020 г.","11,020","11,051","11,123","10,890","","-0,67%"
"18 нояб. 2020 г.","11,094","10,780","11,094","10,708","","3,15%"
"17 нояб. 2020 г.","10,755","10,968","11,026","10,743","","-0,70%"
"16 нояб. 2020 г.","10,830","10,759","10,955","10,707","","-0,23%"
"13 нояб. 2020 г.","10,856","10,935","10,958","10,710","","-2,31%"
"12 нояб. 2020 г.","11,112","10,854","11,224","10,739","","3,09%"
"11 нояб. 2020 г.","10,780","10,743","10,898","10,645","","-0,96%"
"10 нояб. 2020 г.","10,884","10,874","11,172","10,800","","-1,46%"
"09 нояб. 2020 г.","11,046","10,692","11,046","10,248","","-3,46%"
"06 нояб. 2020 г.","11,442","12,023","12,050","11,396","","-5,65%"
"05 нояб. 2020 г.","12,127","11,936","12,253","11,822","","-1,70%"
"04 нояб. 2020 г.","12,337","12,833","12,849","12,177","","-7,54%"
"03 нояб. 2020 г.","13,344","13,632","13,700","13,221","","-4,47%"
"02 нояб. 2020 г.","13,968","13,787","14,139","13,779","","-2,82%"
"30 окт. 2020 г.","14,373","14,212","14,556","14,082","","2,65%"
"29 окт. 2020 г.","14,002","14,499","14,618","13,754","","-4,35%"
"28 окт. 2020 г.","14,638","14,232","14,701","14,142","","7,47%"
"27 окт. 2020 г.","13,620","13,512","13,778","13,457","","0,60%"
